Epoch	Train Loss	Train Acc	Test Loss	Test Acc	Test F1
1	2.4949	0.2487	2.1582	0.2913	0.2847
2	1.7594	0.3777	1.5230	0.4405	0.4334
3	1.4246	0.4675	1.4118	0.4671	0.4615
4	1.2894	0.5112	1.3570	0.4780	0.4719
5	1.1983	0.5396	1.3125	0.4993	0.4893
6	1.1204	0.5652	1.3002	0.4969	0.4892
7	1.0485	0.5931	1.2997	0.4926	0.4855
8	0.9916	0.6065	1.2984	0.4965	0.4897
9	0.9380	0.6278	1.3252	0.4867	0.4807
10	0.8922	0.6412	1.3307	0.4882	0.4803
11	0.8586	0.6539	1.3555	0.4889	0.4833
12	0.8235	0.6646	1.3723	0.4845	0.4817
13	0.7947	0.6753	1.3946	0.4829	0.4774
14	0.7636	0.6861	1.4004	0.4835	0.4789
15	0.7375	0.6953	1.4450	0.4776	0.4751
16	0.7230	0.6975	1.4737	0.4703	0.4691
17	0.7088	0.7022	1.4686	0.4781	0.4725
18	0.6917	0.7080	1.4987	0.4738	0.4691
19	0.6734	0.7144	1.4962	0.4742	0.4702
20	0.6660	0.7150	1.5511	0.4701	0.4649
21	0.6521	0.7184	1.5420	0.4674	0.4623
22	0.6421	0.7263	1.5739	0.4710	0.4642
23	0.6366	0.7250	1.5922	0.4662	0.4658
24	0.6272	0.7268	1.5891	0.4655	0.4639
25	0.6124	0.7305	1.6211	0.4703	0.4663
26	0.6119	0.7303	1.6111	0.4660	0.4652
27	0.6050	0.7329	1.6368	0.4686	0.4642
28	0.5971	0.7368	1.6144	0.4684	0.4667
29	0.5871	0.7395	1.6648	0.4668	0.4649
30	0.5861	0.7366	1.6742	0.4648	0.4622
