Epoch	Train Loss	Train Acc	Test Loss	Test Acc	Test F1
1	2.0706	0.2833	1.9126	0.3212	0.2905
2	1.6342	0.4034	1.4947	0.4446	0.4251
3	1.4540	0.4576	1.3935	0.4765	0.4555
4	1.3636	0.4873	1.3432	0.4867	0.4665
5	1.2974	0.5082	1.3071	0.4974	0.4802
6	1.2400	0.5265	1.2780	0.5025	0.4941
7	1.1903	0.5405	1.2573	0.5081	0.4996
8	1.1433	0.5562	1.2513	0.5073	0.5022
9	1.0966	0.5705	1.2342	0.5127	0.5038
10	1.0618	0.5826	1.2222	0.5136	0.5061
11	1.0254	0.5965	1.2241	0.5153	0.5056
12	0.9929	0.6046	1.2182	0.5132	0.5066
13	0.9633	0.6130	1.2270	0.5162	0.5055
14	0.9347	0.6235	1.2204	0.5120	0.5037
15	0.9107	0.6313	1.2385	0.5071	0.5026
16	0.8888	0.6417	1.2444	0.5045	0.4981
17	0.8642	0.6484	1.2587	0.5073	0.5015
18	0.8442	0.6553	1.2556	0.5065	0.4953
19	0.8267	0.6639	1.2689	0.5135	0.5021
20	0.8090	0.6686	1.2706	0.5045	0.4988
21	0.7889	0.6738	1.2908	0.4999	0.4940
22	0.7736	0.6787	1.3047	0.5021	0.4961
23	0.7605	0.6831	1.3379	0.5000	0.4936
24	0.7457	0.6874	1.3332	0.5013	0.4947
25	0.7336	0.6930	1.3370	0.4967	0.4905
26	0.7211	0.6977	1.3552	0.4952	0.4894
27	0.7126	0.7007	1.3679	0.4935	0.4886
28	0.7017	0.7042	1.4002	0.4977	0.4909
29	0.6896	0.7090	1.4073	0.4941	0.4891
30	0.6864	0.7095	1.4147	0.4959	0.4913
