Epoch	Train Loss	Train Acc	Test Loss	Test Acc	Test F1
1	2.0585	0.2624	1.8546	0.3482	0.3342
2	1.5361	0.4290	1.3924	0.4687	0.4581
3	1.3324	0.4975	1.3144	0.4931	0.4769
4	1.2333	0.5263	1.2760	0.5026	0.4896
5	1.1515	0.5541	1.2342	0.5073	0.4990
6	1.0874	0.5736	1.2274	0.5067	0.4976
7	1.0269	0.5937	1.1948	0.5232	0.5024
8	0.9738	0.6102	1.2170	0.5140	0.4967
9	0.9250	0.6276	1.1752	0.5270	0.5128
10	0.8864	0.6393	1.2045	0.5097	0.4999
11	0.8505	0.6498	1.1981	0.5159	0.5065
12	0.8144	0.6619	1.2229	0.5144	0.5036
13	0.7836	0.6730	1.2000	0.5152	0.5068
14	0.7606	0.6778	1.2201	0.5101	0.5018
15	0.7342	0.6901	1.2280	0.5101	0.5044
16	0.7113	0.6951	1.2408	0.5122	0.5041
17	0.6938	0.7001	1.2895	0.5042	0.4913
18	0.6747	0.7087	1.2792	0.5074	0.5008
19	0.6583	0.7160	1.3048	0.4986	0.4958
20	0.6453	0.7164	1.3376	0.4925	0.4843
21	0.6305	0.7235	1.3393	0.4971	0.4932
22	0.6242	0.7246	1.3501	0.4889	0.4859
23	0.6141	0.7262	1.3737	0.4848	0.4780
24	0.5995	0.7340	1.3712	0.4961	0.4876
25	0.5912	0.7342	1.4095	0.4922	0.4831
26	0.5867	0.7357	1.4187	0.4910	0.4838
27	0.5743	0.7396	1.4329	0.4853	0.4821
28	0.5750	0.7382	1.4295	0.4821	0.4843
29	0.5669	0.7408	1.4369	0.4871	0.4845
30	0.5583	0.7445	1.4975	0.4815	0.4796
